"Index","AUROC","District","Month_of_issue","Category","Skill"
"SPI ON",0.73,"Chibuto","05","Severo","Moderate"
"SPI ON",0.83,"Chibuto","05","Moderado","Good"
"SPI ON",0.83,"Chibuto","05","Leve","Good"
"SPI ON",0.59,"Chibuto","06","Severo","Borderline"
"SPI ND",0.61,"Chibuto","06","Severo","Moderate"
"SPI OND",0.66,"Chibuto","06","Severo","Moderate"
"SPI ON",0.66,"Chibuto","06","Moderado","Moderate"
"SPI ND",0.61,"Chibuto","06","Moderado","Moderate"
"SPI OND",0.66,"Chibuto","06","Moderado","Moderate"
"SPI ON",0.69,"Chibuto","06","Leve","Moderate"
"SPI ND",0.72,"Chibuto","06","Leve","Moderate"
"SPI OND",0.76,"Chibuto","06","Leve","Moderate"
"SPI ON",0.37,"Chibuto","07","Severo","Poor"
"SPI ND",0.73,"Chibuto","07","Severo","Moderate"
"SPI DJ",0.77,"Chibuto","07","Severo","Moderate"
"SPI OND",0.89,"Chibuto","07","Severo","Good"
"SPI NDJ",0.76,"Chibuto","07","Severo","Moderate"
"SPI ON",0.55,"Chibuto","07","Moderado","Borderline"
"SPI ND",0.7,"Chibuto","07","Moderado","Moderate"
"SPI DJ",0.73,"Chibuto","07","Moderado","Moderate"
"SPI OND",0.85,"Chibuto","07","Moderado","Good"
"SPI NDJ",0.84,"Chibuto","07","Moderado","Good"
"SPI ON",0.6,"Chibuto","07","Leve","Borderline"
"SPI ND",0.58,"Chibuto","07","Leve","Borderline"
"SPI DJ",0.61,"Chibuto","07","Leve","Moderate"
"SPI OND",0.78,"Chibuto","07","Leve","Moderate"
"SPI NDJ",0.6,"Chibuto","07","Leve","Borderline"
"SPI ON",0.4,"Chibuto","08","Severo","Poor"
"SPI ND",0.48,"Chibuto","08","Severo","Poor"
"SPI DJ",0.53,"Chibuto","08","Severo","Borderline"
"SPI JF",0.75,"Chibuto","08","Severo","Moderate"
"SPI OND",0.71,"Chibuto","08","Severo","Moderate"
"SPI NDJ",0.48,"Chibuto","08","Severo","Poor"
"SPI DJF",0.71,"Chibuto","08","Severo","Moderate"
"SPI ON",0.43,"Chibuto","08","Moderado","Poor"
"SPI ND",0.53,"Chibuto","08","Moderado","Borderline"
"SPI DJ",0.56,"Chibuto","08","Moderado","Borderline"
"SPI JF",0.6,"Chibuto","08","Moderado","Borderline"
"SPI OND",0.69,"Chibuto","08","Moderado","Moderate"
"SPI NDJ",0.5,"Chibuto","08","Moderado","Poor"
"SPI DJF",0.58,"Chibuto","08","Moderado","Borderline"
"SPI ON",0.36,"Chibuto","08","Leve","Poor"
"SPI ND",0.58,"Chibuto","08","Leve","Borderline"
"SPI DJ",0.67,"Chibuto","08","Leve","Moderate"
"SPI JF",0.61,"Chibuto","08","Leve","Moderate"
"SPI OND",0.57,"Chibuto","08","Leve","Borderline"
"SPI NDJ",0.67,"Chibuto","08","Leve","Moderate"
"SPI DJF",0.69,"Chibuto","08","Leve","Moderate"
"SPI ON",0.41,"Chibuto","09","Severo","Poor"
"SPI ND",0.66,"Chibuto","09","Severo","Moderate"
"SPI DJ",0.82,"Chibuto","09","Severo","Good"
"SPI JF",0.52,"Chibuto","09","Severo","Borderline"
"SPI FM",0.3,"Chibuto","09","Severo","Poor"
"SPI OND",0.8,"Chibuto","09","Severo","Moderate"
"SPI NDJ",0.87,"Chibuto","09","Severo","Good"
"SPI DJF",0.75,"Chibuto","09","Severo","Moderate"
"SPI JFM",0.54,"Chibuto","09","Severo","Borderline"
"SPI ON",0.49,"Chibuto","09","Moderado","Poor"
"SPI ND",0.67,"Chibuto","09","Moderado","Moderate"
"SPI DJ",0.85,"Chibuto","09","Moderado","Good"
"SPI JF",0.48,"Chibuto","09","Moderado","Poor"
"SPI FM",0.45,"Chibuto","09","Moderado","Poor"
"SPI OND",0.77,"Chibuto","09","Moderado","Moderate"
"SPI NDJ",0.8,"Chibuto","09","Moderado","Moderate"
"SPI DJF",0.66,"Chibuto","09","Moderado","Moderate"
"SPI JFM",0.55,"Chibuto","09","Moderado","Borderline"
"SPI ON",0.53,"Chibuto","09","Leve","Borderline"
"SPI ND",0.63,"Chibuto","09","Leve","Moderate"
"SPI DJ",0.72,"Chibuto","09","Leve","Moderate"
"SPI JF",0.47,"Chibuto","09","Leve","Poor"
"SPI FM",0.56,"Chibuto","09","Leve","Borderline"
"SPI OND",0.66,"Chibuto","09","Leve","Moderate"
"SPI NDJ",0.73,"Chibuto","09","Leve","Moderate"
"SPI DJF",0.69,"Chibuto","09","Leve","Moderate"
"SPI JFM",0.55,"Chibuto","09","Leve","Borderline"
"SPI ON",0.53,"Chibuto","10","Severo","Borderline"
"SPI ND",0.56,"Chibuto","10","Severo","Borderline"
"SPI DJ",0.74,"Chibuto","10","Severo","Moderate"
"SPI JF",0.83,"Chibuto","10","Severo","Good"
"SPI FM",0.35,"Chibuto","10","Severo","Poor"
"SPI OND",0.58,"Chibuto","10","Severo","Borderline"
"SPI NDJ",0.64,"Chibuto","10","Severo","Moderate"
"SPI DJF",0.53,"Chibuto","10","Severo","Borderline"
"SPI JFM",0.79,"Chibuto","10","Severo","Moderate"
"SPI ON",0.49,"Chibuto","10","Moderado","Poor"
"SPI ND",0.56,"Chibuto","10","Moderado","Borderline"
"SPI DJ",0.8,"Chibuto","10","Moderado","Moderate"
"SPI JF",0.65,"Chibuto","10","Moderado","Moderate"
"SPI FM",0.48,"Chibuto","10","Moderado","Poor"
"SPI OND",0.58,"Chibuto","10","Moderado","Borderline"
"SPI NDJ",0.63,"Chibuto","10","Moderado","Moderate"
"SPI DJF",0.54,"Chibuto","10","Moderado","Borderline"
"SPI JFM",0.77,"Chibuto","10","Moderado","Moderate"
"SPI ON",0.48,"Chibuto","10","Leve","Poor"
"SPI ND",0.62,"Chibuto","10","Leve","Moderate"
"SPI DJ",0.67,"Chibuto","10","Leve","Moderate"
"SPI JF",0.65,"Chibuto","10","Leve","Moderate"
"SPI FM",0.62,"Chibuto","10","Leve","Moderate"
"SPI OND",0.61,"Chibuto","10","Leve","Moderate"
"SPI NDJ",0.75,"Chibuto","10","Leve","Moderate"
"SPI DJF",0.59,"Chibuto","10","Leve","Borderline"
"SPI JFM",0.74,"Chibuto","10","Leve","Moderate"
"SPI ND",0.54,"Chibuto","11","Severo","Borderline"
"SPI DJ",0.71,"Chibuto","11","Severo","Moderate"
"SPI JF",0.58,"Chibuto","11","Severo","Borderline"
"SPI FM",0.41,"Chibuto","11","Severo","Poor"
"SPI NDJ",0.67,"Chibuto","11","Severo","Moderate"
"SPI DJF",0.63,"Chibuto","11","Severo","Moderate"
"SPI JFM",0.49,"Chibuto","11","Severo","Poor"
"SPI ND",0.57,"Chibuto","11","Moderado","Borderline"
"SPI DJ",0.77,"Chibuto","11","Moderado","Moderate"
"SPI JF",0.64,"Chibuto","11","Moderado","Moderate"
"SPI FM",0.47,"Chibuto","11","Moderado","Poor"
"SPI NDJ",0.71,"Chibuto","11","Moderado","Moderate"
"SPI DJF",0.67,"Chibuto","11","Moderado","Moderate"
"SPI JFM",0.51,"Chibuto","11","Moderado","Borderline"
"SPI ND",0.63,"Chibuto","11","Leve","Moderate"
"SPI DJ",0.7,"Chibuto","11","Leve","Moderate"
"SPI JF",0.59,"Chibuto","11","Leve","Borderline"
"SPI FM",0.42,"Chibuto","11","Leve","Poor"
"SPI NDJ",0.86,"Chibuto","11","Leve","Good"
"SPI DJF",0.72,"Chibuto","11","Leve","Moderate"
"SPI JFM",0.42,"Chibuto","11","Leve","Poor"
"SPI DJ",0.8,"Chibuto","12","Severo","Moderate"
"SPI JF",0.68,"Chibuto","12","Severo","Moderate"
"SPI FM",0.38,"Chibuto","12","Severo","Poor"
"SPI DJF",0.49,"Chibuto","12","Severo","Poor"
"SPI JFM",0.67,"Chibuto","12","Severo","Moderate"
"SPI DJ",0.73,"Chibuto","12","Moderado","Moderate"
"SPI JF",0.62,"Chibuto","12","Moderado","Moderate"
"SPI FM",0.51,"Chibuto","12","Moderado","Borderline"
"SPI DJF",0.62,"Chibuto","12","Moderado","Moderate"
"SPI JFM",0.65,"Chibuto","12","Moderado","Moderate"
"SPI DJ",0.66,"Chibuto","12","Leve","Moderate"
"SPI JF",0.66,"Chibuto","12","Leve","Moderate"
"SPI FM",0.56,"Chibuto","12","Leve","Borderline"
"SPI DJF",0.6,"Chibuto","12","Leve","Borderline"
"SPI JFM",0.63,"Chibuto","12","Leve","Moderate"
"SPI JF",0.74,"Chibuto","01","Severo","Moderate"
"SPI FM",0.32,"Chibuto","01","Severo","Poor"
"SPI JFM",0.66,"Chibuto","01","Severo","Moderate"
"SPI JF",0.78,"Chibuto","01","Moderado","Moderate"
"SPI FM",0.38,"Chibuto","01","Moderado","Poor"
"SPI JFM",0.68,"Chibuto","01","Moderado","Moderate"
"SPI JF",0.76,"Chibuto","01","Leve","Moderate"
"SPI FM",0.48,"Chibuto","01","Leve","Poor"
"SPI JFM",0.7,"Chibuto","01","Leve","Moderate"
"SPI FM",0.52,"Chibuto","02","Severo","Borderline"
"SPI FM",0.59,"Chibuto","02","Moderado","Borderline"
"SPI FM",0.71,"Chibuto","02","Leve","Moderate"
"SPI ON",0.73,"Guija","05","Severo","Moderate"
"SPI ON",0.8,"Guija","05","Moderado","Moderate"
"SPI ON",0.83,"Guija","05","Leve","Good"
"SPI ON",0.62,"Guija","06","Severo","Moderate"
"SPI ND",0.64,"Guija","06","Severo","Moderate"
"SPI OND",0.73,"Guija","06","Severo","Moderate"
"SPI ON",0.63,"Guija","06","Moderado","Moderate"
"SPI ND",0.62,"Guija","06","Moderado","Moderate"
"SPI OND",0.7,"Guija","06","Moderado","Moderate"
"SPI ON",0.78,"Guija","06","Leve","Moderate"
"SPI ND",0.75,"Guija","06","Leve","Moderate"
"SPI OND",0.7,"Guija","06","Leve","Moderate"
"SPI ON",0.49,"Guija","07","Severo","Poor"
"SPI ND",0.68,"Guija","07","Severo","Moderate"
"SPI DJ",0.78,"Guija","07","Severo","Moderate"
"SPI OND",0.9,"Guija","07","Severo","Good"
"SPI NDJ",0.88,"Guija","07","Severo","Good"
"SPI ON",0.6,"Guija","07","Moderado","Borderline"
"SPI ND",0.67,"Guija","07","Moderado","Moderate"
"SPI DJ",0.7,"Guija","07","Moderado","Moderate"
"SPI OND",0.87,"Guija","07","Moderado","Good"
"SPI NDJ",0.78,"Guija","07","Moderado","Moderate"
"SPI ON",0.71,"Guija","07","Leve","Moderate"
"SPI ND",0.63,"Guija","07","Leve","Moderate"
"SPI DJ",0.57,"Guija","07","Leve","Borderline"
"SPI OND",0.85,"Guija","07","Leve","Good"
"SPI NDJ",0.55,"Guija","07","Leve","Borderline"
"SPI ON",0.35,"Guija","08","Severo","Poor"
"SPI ND",0.42,"Guija","08","Severo","Poor"
"SPI DJ",0.57,"Guija","08","Severo","Borderline"
"SPI JF",0.64,"Guija","08","Severo","Moderate"
"SPI OND",0.64,"Guija","08","Severo","Moderate"
"SPI NDJ",0.56,"Guija","08","Severo","Borderline"
"SPI DJF",0.65,"Guija","08","Severo","Moderate"
"SPI ON",0.29,"Guija","08","Moderado","Poor"
"SPI ND",0.47,"Guija","08","Moderado","Poor"
"SPI DJ",0.53,"Guija","08","Moderado","Borderline"
"SPI JF",0.55,"Guija","08","Moderado","Borderline"
"SPI OND",0.68,"Guija","08","Moderado","Moderate"
"SPI NDJ",0.73,"Guija","08","Moderado","Moderate"
"SPI DJF",0.59,"Guija","08","Moderado","Borderline"
"SPI ON",0.39,"Guija","08","Leve","Poor"
"SPI ND",0.61,"Guija","08","Leve","Moderate"
"SPI DJ",0.68,"Guija","08","Leve","Moderate"
"SPI JF",0.57,"Guija","08","Leve","Borderline"
"SPI OND",0.67,"Guija","08","Leve","Moderate"
"SPI NDJ",0.72,"Guija","08","Leve","Moderate"
"SPI DJF",0.62,"Guija","08","Leve","Moderate"
"SPI ON",0.42,"Guija","09","Severo","Poor"
"SPI ND",0.61,"Guija","09","Severo","Moderate"
"SPI DJ",0.68,"Guija","09","Severo","Moderate"
"SPI JF",0.53,"Guija","09","Severo","Borderline"
"SPI FM",0.45,"Guija","09","Severo","Poor"
"SPI OND",0.86,"Guija","09","Severo","Good"
"SPI NDJ",0.86,"Guija","09","Severo","Good"
"SPI DJF",0.76,"Guija","09","Severo","Moderate"
"SPI JFM",0.38,"Guija","09","Severo","Poor"
"SPI ON",0.48,"Guija","09","Moderado","Poor"
"SPI ND",0.57,"Guija","09","Moderado","Borderline"
"SPI DJ",0.65,"Guija","09","Moderado","Moderate"
"SPI JF",0.51,"Guija","09","Moderado","Borderline"
"SPI FM",0.42,"Guija","09","Moderado","Poor"
"SPI OND",0.8,"Guija","09","Moderado","Moderate"
"SPI NDJ",0.85,"Guija","09","Moderado","Good"
"SPI DJF",0.69,"Guija","09","Moderado","Moderate"
"SPI JFM",0.46,"Guija","09","Moderado","Poor"
"SPI ON",0.42,"Guija","09","Leve","Poor"
"SPI ND",0.69,"Guija","09","Leve","Moderate"
"SPI DJ",0.77,"Guija","09","Leve","Moderate"
"SPI JF",0.48,"Guija","09","Leve","Poor"
"SPI FM",0.43,"Guija","09","Leve","Poor"
"SPI OND",0.75,"Guija","09","Leve","Moderate"
"SPI NDJ",0.71,"Guija","09","Leve","Moderate"
"SPI DJF",0.71,"Guija","09","Leve","Moderate"
"SPI JFM",0.62,"Guija","09","Leve","Moderate"
"SPI ON",0.55,"Guija","10","Severo","Borderline"
"SPI ND",0.55,"Guija","10","Severo","Borderline"
"SPI DJ",0.78,"Guija","10","Severo","Moderate"
"SPI JF",0.77,"Guija","10","Severo","Moderate"
"SPI FM",0.5,"Guija","10","Severo","Poor"
"SPI OND",0.6,"Guija","10","Severo","Borderline"
"SPI NDJ",0.68,"Guija","10","Severo","Moderate"
"SPI DJF",0.52,"Guija","10","Severo","Borderline"
"SPI JFM",0.65,"Guija","10","Severo","Moderate"
"SPI ON",0.47,"Guija","10","Moderado","Poor"
"SPI ND",0.53,"Guija","10","Moderado","Borderline"
"SPI DJ",0.74,"Guija","10","Moderado","Moderate"
"SPI JF",0.75,"Guija","10","Moderado","Moderate"
"SPI FM",0.53,"Guija","10","Moderado","Borderline"
"SPI OND",0.6,"Guija","10","Moderado","Borderline"
"SPI NDJ",0.8,"Guija","10","Moderado","Moderate"
"SPI DJF",0.58,"Guija","10","Moderado","Borderline"
"SPI JFM",0.66,"Guija","10","Moderado","Moderate"
"SPI ON",0.47,"Guija","10","Leve","Poor"
"SPI ND",0.61,"Guija","10","Leve","Moderate"
"SPI DJ",0.69,"Guija","10","Leve","Moderate"
"SPI JF",0.72,"Guija","10","Leve","Moderate"
"SPI FM",0.55,"Guija","10","Leve","Borderline"
"SPI OND",0.6,"Guija","10","Leve","Borderline"
"SPI NDJ",0.71,"Guija","10","Leve","Moderate"
"SPI DJF",0.62,"Guija","10","Leve","Moderate"
"SPI JFM",0.81,"Guija","10","Leve","Good"
"SPI ND",0.51,"Guija","11","Severo","Borderline"
"SPI DJ",0.68,"Guija","11","Severo","Moderate"
"SPI JF",0.61,"Guija","11","Severo","Moderate"
"SPI FM",0.52,"Guija","11","Severo","Borderline"
"SPI NDJ",0.79,"Guija","11","Severo","Moderate"
"SPI DJF",0.61,"Guija","11","Severo","Moderate"
"SPI JFM",0.43,"Guija","11","Severo","Poor"
"SPI ND",0.56,"Guija","11","Moderado","Borderline"
"SPI DJ",0.65,"Guija","11","Moderado","Moderate"
"SPI JF",0.66,"Guija","11","Moderado","Moderate"
"SPI FM",0.49,"Guija","11","Moderado","Poor"
"SPI NDJ",0.87,"Guija","11","Moderado","Good"
"SPI DJF",0.66,"Guija","11","Moderado","Moderate"
"SPI JFM",0.66,"Guija","11","Moderado","Moderate"
"SPI ND",0.67,"Guija","11","Leve","Moderate"
"SPI DJ",0.7,"Guija","11","Leve","Moderate"
"SPI JF",0.63,"Guija","11","Leve","Moderate"
"SPI FM",0.52,"Guija","11","Leve","Borderline"
"SPI NDJ",0.84,"Guija","11","Leve","Good"
"SPI DJF",0.68,"Guija","11","Leve","Moderate"
"SPI JFM",0.63,"Guija","11","Leve","Moderate"
"SPI DJ",0.83,"Guija","12","Severo","Good"
"SPI JF",0.7,"Guija","12","Severo","Moderate"
"SPI FM",0.55,"Guija","12","Severo","Borderline"
"SPI DJF",0.6,"Guija","12","Severo","Borderline"
"SPI JFM",0.55,"Guija","12","Severo","Borderline"
"SPI DJ",0.72,"Guija","12","Moderado","Moderate"
"SPI JF",0.73,"Guija","12","Moderado","Moderate"
"SPI FM",0.53,"Guija","12","Moderado","Borderline"
"SPI DJF",0.6,"Guija","12","Moderado","Borderline"
"SPI JFM",0.57,"Guija","12","Moderado","Borderline"
"SPI DJ",0.68,"Guija","12","Leve","Moderate"
"SPI JF",0.66,"Guija","12","Leve","Moderate"
"SPI FM",0.61,"Guija","12","Leve","Moderate"
"SPI DJF",0.63,"Guija","12","Leve","Moderate"
"SPI JFM",0.68,"Guija","12","Leve","Moderate"
"SPI JF",0.6,"Guija","01","Severo","Borderline"
"SPI FM",0.43,"Guija","01","Severo","Poor"
"SPI JFM",0.56,"Guija","01","Severo","Borderline"
"SPI JF",0.65,"Guija","01","Moderado","Moderate"
"SPI FM",0.41,"Guija","01","Moderado","Poor"
"SPI JFM",0.43,"Guija","01","Moderado","Poor"
"SPI JF",0.64,"Guija","01","Leve","Moderate"
"SPI FM",0.36,"Guija","01","Leve","Poor"
"SPI JFM",0.54,"Guija","01","Leve","Borderline"
"SPI FM",0.68,"Guija","02","Severo","Moderate"
