"Index","AUROC","District","Month_of_issue","Category","Skill"
"SPI FM",0.67,"Guija","02","Moderado","Moderate"
"SPI FM",0.75,"Guija","02","Leve","Moderate"
"SPI ON",0.56,"Changara","05","Severo","Borderline"
"SPI ON",0.51,"Changara","05","Moderado","Borderline"
"SPI ON",0.43,"Changara","05","Leve","Poor"
"SPI ON",0.51,"Changara","06","Severo","Borderline"
"SPI ND",0.36,"Changara","06","Severo","Poor"
"SPI OND",0.4,"Changara","06","Severo","Poor"
"SPI ON",0.49,"Changara","06","Moderado","Poor"
"SPI ND",0.4,"Changara","06","Moderado","Poor"
"SPI OND",0.37,"Changara","06","Moderado","Poor"
"SPI ON",0.49,"Changara","06","Leve","Poor"
"SPI ND",0.41,"Changara","06","Leve","Poor"
"SPI OND",0.47,"Changara","06","Leve","Poor"
"SPI ON",0.48,"Changara","07","Severo","Poor"
"SPI ND",0.44,"Changara","07","Severo","Poor"
"SPI DJ",0.59,"Changara","07","Severo","Borderline"
"SPI OND",0.42,"Changara","07","Severo","Poor"
"SPI NDJ",0.74,"Changara","07","Severo","Moderate"
"SPI ON",0.46,"Changara","07","Moderado","Poor"
"SPI ND",0.47,"Changara","07","Moderado","Poor"
"SPI DJ",0.69,"Changara","07","Moderado","Moderate"
"SPI OND",0.48,"Changara","07","Moderado","Poor"
"SPI NDJ",0.83,"Changara","07","Moderado","Good"
"SPI ON",0.5,"Changara","07","Leve","Poor"
"SPI ND",0.53,"Changara","07","Leve","Borderline"
"SPI DJ",0.81,"Changara","07","Leve","Good"
"SPI OND",0.53,"Changara","07","Leve","Borderline"
"SPI NDJ",0.75,"Changara","07","Leve","Moderate"
"SPI ON",0.42,"Changara","08","Severo","Poor"
"SPI ND",0.43,"Changara","08","Severo","Poor"
"SPI DJ",0.23,"Changara","08","Severo","Poor"
"SPI JF",0.84,"Changara","08","Severo","Good"
"SPI OND",0.55,"Changara","08","Severo","Borderline"
"SPI NDJ",0.41,"Changara","08","Severo","Poor"
"SPI DJF",0.82,"Changara","08","Severo","Good"
"SPI ON",0.31,"Changara","08","Moderado","Poor"
"SPI ND",0.52,"Changara","08","Moderado","Borderline"
"SPI DJ",0.2,"Changara","08","Moderado","Poor"
"SPI JF",0.85,"Changara","08","Moderado","Good"
"SPI OND",0.58,"Changara","08","Moderado","Borderline"
"SPI NDJ",0.38,"Changara","08","Moderado","Poor"
"SPI DJF",0.82,"Changara","08","Moderado","Good"
"SPI ON",0.37,"Changara","08","Leve","Poor"
"SPI ND",0.45,"Changara","08","Leve","Poor"
"SPI DJ",0.25,"Changara","08","Leve","Poor"
"SPI JF",0.7,"Changara","08","Leve","Moderate"
"SPI OND",0.48,"Changara","08","Leve","Poor"
"SPI NDJ",0.49,"Changara","08","Leve","Poor"
"SPI DJF",0.79,"Changara","08","Leve","Moderate"
"SPI ON",0.47,"Changara","09","Severo","Poor"
"SPI ND",0.61,"Changara","09","Severo","Moderate"
"SPI DJ",0.8,"Changara","09","Severo","Moderate"
"SPI JF",0.59,"Changara","09","Severo","Borderline"
"SPI FM",0.18,"Changara","09","Severo","Poor"
"SPI OND",0.56,"Changara","09","Severo","Borderline"
"SPI NDJ",0.68,"Changara","09","Severo","Moderate"
"SPI DJF",0.67,"Changara","09","Severo","Moderate"
"SPI JFM",0.51,"Changara","09","Severo","Borderline"
"SPI ON",0.5,"Changara","09","Moderado","Poor"
"SPI ND",0.47,"Changara","09","Moderado","Poor"
"SPI DJ",0.81,"Changara","09","Moderado","Good"
"SPI JF",0.58,"Changara","09","Moderado","Borderline"
"SPI FM",0.34,"Changara","09","Moderado","Poor"
"SPI OND",0.44,"Changara","09","Moderado","Poor"
"SPI NDJ",0.72,"Changara","09","Moderado","Moderate"
"SPI DJF",0.66,"Changara","09","Moderado","Moderate"
"SPI JFM",0.47,"Changara","09","Moderado","Poor"
"SPI ON",0.55,"Changara","09","Leve","Borderline"
"SPI ND",0.47,"Changara","09","Leve","Poor"
"SPI DJ",0.88,"Changara","09","Leve","Good"
"SPI JF",0.58,"Changara","09","Leve","Borderline"
"SPI FM",0.33,"Changara","09","Leve","Poor"
"SPI OND",0.47,"Changara","09","Leve","Poor"
"SPI NDJ",0.76,"Changara","09","Leve","Moderate"
"SPI DJF",0.62,"Changara","09","Leve","Moderate"
"SPI JFM",0.55,"Changara","09","Leve","Borderline"
"SPI ON",0.35,"Changara","10","Severo","Poor"
"SPI ND",0.46,"Changara","10","Severo","Poor"
"SPI DJ",0.8,"Changara","10","Severo","Moderate"
"SPI JF",0.43,"Changara","10","Severo","Poor"
"SPI FM",0.32,"Changara","10","Severo","Poor"
"SPI OND",0.48,"Changara","10","Severo","Poor"
"SPI NDJ",0.52,"Changara","10","Severo","Borderline"
"SPI DJF",0.71,"Changara","10","Severo","Moderate"
"SPI JFM",0.45,"Changara","10","Severo","Poor"
"SPI ON",0.35,"Changara","10","Moderado","Poor"
"SPI ND",0.57,"Changara","10","Moderado","Borderline"
"SPI DJ",0.72,"Changara","10","Moderado","Moderate"
"SPI JF",0.4,"Changara","10","Moderado","Poor"
"SPI FM",0.34,"Changara","10","Moderado","Poor"
"SPI OND",0.55,"Changara","10","Moderado","Borderline"
"SPI NDJ",0.49,"Changara","10","Moderado","Poor"
"SPI DJF",0.75,"Changara","10","Moderado","Moderate"
"SPI JFM",0.46,"Changara","10","Moderado","Poor"
"SPI ON",0.37,"Changara","10","Leve","Poor"
"SPI ND",0.62,"Changara","10","Leve","Moderate"
"SPI DJ",0.75,"Changara","10","Leve","Moderate"
"SPI JF",0.45,"Changara","10","Leve","Poor"
"SPI FM",0.32,"Changara","10","Leve","Poor"
"SPI OND",0.53,"Changara","10","Leve","Borderline"
"SPI NDJ",0.61,"Changara","10","Leve","Moderate"
"SPI DJF",0.62,"Changara","10","Leve","Moderate"
"SPI JFM",0.52,"Changara","10","Leve","Borderline"
"SPI ND",0.38,"Changara","11","Severo","Poor"
"SPI DJ",0.77,"Changara","11","Severo","Moderate"
"SPI JF",0.54,"Changara","11","Severo","Borderline"
"SPI FM",0.17,"Changara","11","Severo","Poor"
"SPI NDJ",0.67,"Changara","11","Severo","Moderate"
"SPI DJF",0.77,"Changara","11","Severo","Moderate"
"SPI JFM",0.59,"Changara","11","Severo","Borderline"
"SPI ND",0.33,"Changara","11","Moderado","Poor"
"SPI DJ",0.79,"Changara","11","Moderado","Moderate"
"SPI JF",0.5,"Changara","11","Moderado","Poor"
"SPI FM",0.32,"Changara","11","Moderado","Poor"
"SPI NDJ",0.75,"Changara","11","Moderado","Moderate"
"SPI DJF",0.79,"Changara","11","Moderado","Moderate"
"SPI JFM",0.56,"Changara","11","Moderado","Borderline"
"SPI ND",0.26,"Changara","11","Leve","Poor"
"SPI DJ",0.8,"Changara","11","Leve","Moderate"
"SPI JF",0.54,"Changara","11","Leve","Borderline"
"SPI FM",0.33,"Changara","11","Leve","Poor"
"SPI NDJ",0.72,"Changara","11","Leve","Moderate"
"SPI DJF",0.76,"Changara","11","Leve","Moderate"
"SPI JFM",0.54,"Changara","11","Leve","Borderline"
"SPI DJ",0.59,"Changara","12","Severo","Borderline"
"SPI JF",0.59,"Changara","12","Severo","Borderline"
"SPI FM",0.2,"Changara","12","Severo","Poor"
"SPI DJF",0.62,"Changara","12","Severo","Moderate"
"SPI JFM",0.6,"Changara","12","Severo","Borderline"
"SPI DJ",0.63,"Changara","12","Moderado","Moderate"
"SPI JF",0.64,"Changara","12","Moderado","Moderate"
"SPI FM",0.39,"Changara","12","Moderado","Poor"
"SPI DJF",0.59,"Changara","12","Moderado","Borderline"
"SPI JFM",0.61,"Changara","12","Moderado","Moderate"
"SPI DJ",0.65,"Changara","12","Leve","Moderate"
"SPI JF",0.6,"Changara","12","Leve","Borderline"
"SPI FM",0.38,"Changara","12","Leve","Poor"
"SPI DJF",0.68,"Changara","12","Leve","Moderate"
"SPI JFM",0.59,"Changara","12","Leve","Borderline"
"SPI JF",0.71,"Changara","01","Severo","Moderate"
"SPI FM",0.46,"Changara","01","Severo","Poor"
"SPI JFM",0.66,"Changara","01","Severo","Moderate"
"SPI JF",0.76,"Changara","01","Moderado","Moderate"
"SPI FM",0.46,"Changara","01","Moderado","Poor"
"SPI JFM",0.72,"Changara","01","Moderado","Moderate"
"SPI JF",0.69,"Changara","01","Leve","Moderate"
"SPI FM",0.47,"Changara","01","Leve","Poor"
"SPI JFM",0.73,"Changara","01","Leve","Moderate"
"SPI FM",0.7,"Changara","02","Severo","Moderate"
"SPI FM",0.64,"Changara","02","Moderado","Moderate"
"SPI FM",0.65,"Changara","02","Leve","Moderate"
"SPI ON",0.5,"Marara","05","Severo","Poor"
"SPI ON",0.5,"Marara","05","Moderado","Poor"
"SPI ON",0.51,"Marara","05","Leve","Borderline"
"SPI ON",0.54,"Marara","06","Severo","Borderline"
"SPI ND",0.42,"Marara","06","Severo","Poor"
"SPI OND",0.21,"Marara","06","Severo","Poor"
"SPI ON",0.57,"Marara","06","Moderado","Borderline"
"SPI ND",0.4,"Marara","06","Moderado","Poor"
"SPI OND",0.35,"Marara","06","Moderado","Poor"
"SPI ON",0.49,"Marara","06","Leve","Poor"
"SPI ND",0.4,"Marara","06","Leve","Poor"
"SPI OND",0.45,"Marara","06","Leve","Poor"
"SPI ON",0.53,"Marara","07","Severo","Borderline"
"SPI ND",0.42,"Marara","07","Severo","Poor"
"SPI DJ",0.7,"Marara","07","Severo","Moderate"
"SPI OND",0.49,"Marara","07","Severo","Poor"
"SPI NDJ",0.74,"Marara","07","Severo","Moderate"
"SPI ON",0.51,"Marara","07","Moderado","Borderline"
"SPI ND",0.38,"Marara","07","Moderado","Poor"
"SPI DJ",0.67,"Marara","07","Moderado","Moderate"
"SPI OND",0.46,"Marara","07","Moderado","Poor"
"SPI NDJ",0.84,"Marara","07","Moderado","Good"
"SPI ON",0.51,"Marara","07","Leve","Borderline"
"SPI ND",0.43,"Marara","07","Leve","Poor"
"SPI DJ",0.72,"Marara","07","Leve","Moderate"
"SPI OND",0.46,"Marara","07","Leve","Poor"
"SPI NDJ",0.68,"Marara","07","Leve","Moderate"
"SPI ON",0.32,"Marara","08","Severo","Poor"
"SPI ND",0.57,"Marara","08","Severo","Borderline"
"SPI DJ",0.3,"Marara","08","Severo","Poor"
"SPI JF",0.85,"Marara","08","Severo","Good"
"SPI OND",0.65,"Marara","08","Severo","Moderate"
"SPI NDJ",0.45,"Marara","08","Severo","Poor"
"SPI DJF",0.83,"Marara","08","Severo","Good"
"SPI ON",0.31,"Marara","08","Moderado","Poor"
"SPI ND",0.58,"Marara","08","Moderado","Borderline"
"SPI DJ",0.26,"Marara","08","Moderado","Poor"
"SPI JF",0.89,"Marara","08","Moderado","Good"
"SPI OND",0.61,"Marara","08","Moderado","Moderate"
"SPI NDJ",0.35,"Marara","08","Moderado","Poor"
"SPI DJF",0.82,"Marara","08","Moderado","Good"
"SPI ON",0.35,"Marara","08","Leve","Poor"
"SPI ND",0.47,"Marara","08","Leve","Poor"
"SPI DJ",0.27,"Marara","08","Leve","Poor"
"SPI JF",0.74,"Marara","08","Leve","Moderate"
"SPI OND",0.51,"Marara","08","Leve","Borderline"
"SPI NDJ",0.54,"Marara","08","Leve","Borderline"
"SPI DJF",0.89,"Marara","08","Leve","Good"
"SPI ON",0.44,"Marara","09","Severo","Poor"
"SPI ND",0.55,"Marara","09","Severo","Borderline"
"SPI DJ",0.76,"Marara","09","Severo","Moderate"
"SPI JF",0.51,"Marara","09","Severo","Borderline"
"SPI FM",0.27,"Marara","09","Severo","Poor"
"SPI OND",0.67,"Marara","09","Severo","Moderate"
"SPI NDJ",0.66,"Marara","09","Severo","Moderate"
"SPI DJF",0.65,"Marara","09","Severo","Moderate"
"SPI JFM",0.48,"Marara","09","Severo","Poor"
"SPI ON",0.36,"Marara","09","Moderado","Poor"
"SPI ND",0.39,"Marara","09","Moderado","Poor"
"SPI DJ",0.79,"Marara","09","Moderado","Moderate"
"SPI JF",0.61,"Marara","09","Moderado","Moderate"
"SPI FM",0.28,"Marara","09","Moderado","Poor"
"SPI OND",0.49,"Marara","09","Moderado","Poor"
"SPI NDJ",0.68,"Marara","09","Moderado","Moderate"
"SPI DJF",0.66,"Marara","09","Moderado","Moderate"
"SPI JFM",0.53,"Marara","09","Moderado","Borderline"
"SPI ON",0.34,"Marara","09","Leve","Poor"
"SPI ND",0.38,"Marara","09","Leve","Poor"
"SPI DJ",0.81,"Marara","09","Leve","Good"
"SPI JF",0.56,"Marara","09","Leve","Borderline"
"SPI FM",0.29,"Marara","09","Leve","Poor"
"SPI OND",0.33,"Marara","09","Leve","Poor"
"SPI NDJ",0.74,"Marara","09","Leve","Moderate"
"SPI DJF",0.65,"Marara","09","Leve","Moderate"
"SPI JFM",0.5,"Marara","09","Leve","Poor"
"SPI ON",0.23,"Marara","10","Severo","Poor"
"SPI ND",0.28,"Marara","10","Severo","Poor"
"SPI DJ",0.75,"Marara","10","Severo","Moderate"
"SPI JF",0.43,"Marara","10","Severo","Poor"
"SPI FM",0.29,"Marara","10","Severo","Poor"
"SPI OND",0.44,"Marara","10","Severo","Poor"
"SPI NDJ",0.62,"Marara","10","Severo","Moderate"
"SPI DJF",0.63,"Marara","10","Severo","Moderate"
"SPI JFM",0.43,"Marara","10","Severo","Poor"
"SPI ON",0.24,"Marara","10","Moderado","Poor"
"SPI ND",0.59,"Marara","10","Moderado","Borderline"
"SPI DJ",0.82,"Marara","10","Moderado","Good"
"SPI JF",0.37,"Marara","10","Moderado","Poor"
"SPI FM",0.3,"Marara","10","Moderado","Poor"
"SPI OND",0.57,"Marara","10","Moderado","Borderline"
"SPI NDJ",0.71,"Marara","10","Moderado","Moderate"
"SPI DJF",0.74,"Marara","10","Moderado","Moderate"
"SPI JFM",0.41,"Marara","10","Moderado","Poor"
"SPI ON",0.32,"Marara","10","Leve","Poor"
"SPI ND",0.62,"Marara","10","Leve","Moderate"
"SPI DJ",0.77,"Marara","10","Leve","Moderate"
"SPI JF",0.4,"Marara","10","Leve","Poor"
"SPI FM",0.33,"Marara","10","Leve","Poor"
"SPI OND",0.58,"Marara","10","Leve","Borderline"
"SPI NDJ",0.63,"Marara","10","Leve","Moderate"
"SPI DJF",0.73,"Marara","10","Leve","Moderate"
"SPI JFM",0.55,"Marara","10","Leve","Borderline"
"SPI ND",0.24,"Marara","11","Severo","Poor"
"SPI DJ",0.79,"Marara","11","Severo","Moderate"
"SPI JF",0.49,"Marara","11","Severo","Poor"
"SPI FM",0.2,"Marara","11","Severo","Poor"
"SPI NDJ",0.86,"Marara","11","Severo","Good"
"SPI DJF",0.74,"Marara","11","Severo","Moderate"
"SPI JFM",0.47,"Marara","11","Severo","Poor"
"SPI ND",0.37,"Marara","11","Moderado","Poor"
"SPI DJ",0.81,"Marara","11","Moderado","Good"
"SPI JF",0.49,"Marara","11","Moderado","Poor"
"SPI FM",0.24,"Marara","11","Moderado","Poor"
"SPI NDJ",0.93,"Marara","11","Moderado","Good"
"SPI DJF",0.68,"Marara","11","Moderado","Moderate"
"SPI JFM",0.41,"Marara","11","Moderado","Poor"
"SPI ND",0.29,"Marara","11","Leve","Poor"
"SPI DJ",0.87,"Marara","11","Leve","Good"
"SPI JF",0.41,"Marara","11","Leve","Poor"
"SPI FM",0.39,"Marara","11","Leve","Poor"
"SPI NDJ",0.63,"Marara","11","Leve","Moderate"
"SPI DJF",0.63,"Marara","11","Leve","Moderate"
"SPI JFM",0.42,"Marara","11","Leve","Poor"
"SPI DJ",0.66,"Marara","12","Severo","Moderate"
"SPI JF",0.6,"Marara","12","Severo","Borderline"
"SPI FM",0.3,"Marara","12","Severo","Poor"
"SPI DJF",0.69,"Marara","12","Severo","Moderate"
"SPI JFM",0.62,"Marara","12","Severo","Moderate"
"SPI DJ",0.68,"Marara","12","Moderado","Moderate"
"SPI JF",0.68,"Marara","12","Moderado","Moderate"
"SPI FM",0.31,"Marara","12","Moderado","Poor"
"SPI DJF",0.72,"Marara","12","Moderado","Moderate"
"SPI JFM",0.69,"Marara","12","Moderado","Moderate"
"SPI DJ",0.61,"Marara","12","Leve","Moderate"
"SPI JF",0.63,"Marara","12","Leve","Moderate"
"SPI FM",0.38,"Marara","12","Leve","Poor"
"SPI DJF",0.67,"Marara","12","Leve","Moderate"
"SPI JFM",0.56,"Marara","12","Leve","Borderline"
"SPI JF",0.75,"Marara","01","Severo","Moderate"
"SPI FM",0.45,"Marara","01","Severo","Poor"
"SPI JFM",0.8,"Marara","01","Severo","Moderate"
"SPI JF",0.76,"Marara","01","Moderado","Moderate"
"SPI FM",0.39,"Marara","01","Moderado","Poor"
"SPI JFM",0.76,"Marara","01","Moderado","Moderate"
"SPI JF",0.58,"Marara","01","Leve","Borderline"
"SPI FM",0.47,"Marara","01","Leve","Poor"
"SPI JFM",0.59,"Marara","01","Leve","Borderline"
"SPI FM",0.72,"Marara","02","Severo","Moderate"
"SPI FM",0.71,"Marara","02","Moderado","Moderate"
"SPI FM",0.62,"Marara","02","Leve","Moderate"
